NumIters,Seconds,LearningRate,loss1/loss1,loss2/loss1,loss3/loss3/new,LOG OF LOSS
167000,26708.3647,0.0096459,10.7455,11.699,0.000217954,-3.661635156
167040,26713.27376,0.00964581,10.5568,10.6296,0.000180175,-3.744305469
167080,26718.1867,0.00964572,11.113,11.3758,0.00762677,-2.11765935
167120,26723.09748,0.00964564,9.98101,10.8883,2.57E-05,-4.589860762
167160,26728.00919,0.00964555,9.85147,11.3646,0.000112669,-3.94819556
167200,26732.91991,0.00964546,11.5885,11.2796,0.000224778,-3.648246197
167240,26737.82953,0.00964538,10.3274,11.1074,0.00131801,-2.880081295
167280,26742.74094,0.00964529,11.0086,11.0161,9.31E-05,-4.031236018
167320,26747.65719,0.00964521,10.816,10.7321,0.0138668,-1.858023748
167360,26752.56472,0.00964512,9.76056,10.8181,0.0144164,-1.841143176
167400,26757.47193,0.00964503,10.6835,10.8302,0.00104161,-2.982294859
167440,26762.38562,0.00964495,10.1765,11.1667,0.000104175,-3.982236491
167480,26767.29551,0.00964486,9.98164,10.8795,0.00013809,-3.85983777
167520,26772.20721,0.00964477,10.5649,11.3033,0.00103623,-2.984543839
167560,26777.12104,0.00964469,9.71668,10.371,0.000222527,-3.652617287
167600,26782.03057,0.0096446,10.6058,10.7889,0.000375343,-3.425571679
167640,26786.94588,0.00964451,10.5672,11.3807,0.002576,-2.589054141
167680,26791.86224,0.00964443,11.9719,11.1662,0.00355914,-2.448654929
167720,26796.76871,0.00964434,10.1999,10.5221,0.000315647,-3.500798334
167760,26801.67986,0.00964426,11.4328,11.6035,0.00697424,-2.156503112
167800,26806.5927,0.00964417,10.8217,11.1701,0.000263431,-3.57933312
167840,26811.50636,0.00964408,10.6905,11.2671,5.69E-05,-4.244819809
167880,26816.41982,0.009644,10.2942,10.631,1.80E-05,-4.745352846
167920,26821.32977,0.00964391,10.338,10.876,0.000490881,-3.309023777
167960,26826.23936,0.00964382,10.1837,11.4362,4.25E-06,-5.37154874
168000,26982.37949,0.00964374,9.93652,10.8422,0.00150059,-2.823737952
168040,26987.29056,0.00964365,10.7054,11.056,0.176858,-0.752375291
168080,26992.19857,0.00964356,9.45046,10.5557,0.000596901,-3.224097694
168120,26997.10681,0.00964348,10.3965,11.3043,0.00376616,-2.424101234
168160,27002.02007,0.00964339,10.56,10.8674,0.000115979,-3.93562064
168200,27006.93062,0.00964331,9.65117,10.9863,3.81E-05,-4.419355525
168240,27011.83691,0.00964322,10.067,10.8345,8.71E-05,-4.060217754
168280,27016.74774,0.00964313,10.3262,11.0278,0.00128187,-2.892156016
168320,27021.66128,0.00964305,11.1184,11.4179,0.00344116,-2.463295134
168360,27026.57181,0.00964296,10.5465,10.1097,0.000685394,-3.164059702
168400,27031.48449,0.00964287,10.3726,10.8311,0.000856191,-3.067429342
168440,27036.40167,0.00964279,10.4945,10.7139,0.000275398,-3.560039218
168480,27041.31024,0.0096427,10.2975,10.9652,4.34E-05,-4.362043205
168520,27046.2193,0.00964261,9.94108,10.763,0.000334474,-3.475637636
168560,27051.12777,0.00964253,10.0572,11.1282,6.15E-05,-4.210812164
168600,27056.03527,0.00964244,10.6796,11.1308,0.000234237,-3.630344503
168640,27060.95,0.00964235,10.5753,10.8236,0.000325517,-3.487426326
168680,27065.86298,0.00964227,10.1619,10.8634,0.00067553,-3.170355359
168720,27070.76949,0.00964218,10.3506,11.1147,0.000131832,-3.879979159
168760,27075.68304,0.0096421,10.9827,11.8564,8.83E-06,-5.054266586
168800,27080.59649,0.00964201,10.7902,11.8498,9.95E-06,-5.002374252
168840,27085.50446,0.00964192,11.0967,11.1184,8.59E-05,-4.065870856
168880,27090.42028,0.00964184,9.74462,10.6832,2.38E-05,-4.623611035
168920,27095.3334,0.00964175,9.81296,10.7163,8.54E-05,-4.068587392
168960,27100.24711,0.00964166,10.6788,11.076,0.000664268,-3.177656668
169000,27105.16201,0.00964158,10.1557,10.9707,9.33E-06,-5.030182597
169040,27110.0744,0.00964149,9.77681,11.0548,8.68E-05,-4.061684962
169080,27114.98359,0.0096414,9.9253,11.0042,0.00025768,-3.588919288
169120,27119.89233,0.00964132,10.7985,11.3347,0.000345495,-3.461558233
169160,27124.80042,0.00964123,11.2786,11.2626,8.15E-05,-4.088999085
169200,27129.70692,0.00964114,10.6477,10.8273,2.99E-06,-5.524661559
169240,27134.62048,0.00964106,10.8673,11.5198,5.38E-05,-4.269211266
169280,27139.53351,0.00964097,10.544,11.5669,4.24E-05,-4.372258395
169320,27144.44307,0.00964088,10.244,11.0254,7.62E-05,-4.117908834
169360,27149.36207,0.0096408,9.94061,11.1809,0.000309935,-3.508729377
169400,27154.27313,0.00964071,10.8649,11.8046,6.80E-06,-5.167568373
169440,27159.1857,0.00964063,9.98671,11.5396,4.26E-05,-4.370237807
169480,27164.09788,0.00964054,10.3343,11.2675,7.43E-05,-4.128727789
169520,27169.0127,0.00964045,10.2838,11.5692,0.000387032,-3.412253126
169560,27173.92085,0.00964037,10.0282,11.6913,0.000393541,-3.405010015
169600,27178.83017,0.00964028,9.85065,11.0049,0.000228945,-3.640268837
169640,27183.73996,0.00964019,10.1433,10.8193,0.0303153,-1.51833813
169680,27188.64629,0.00964011,10.5026,10.6289,0.00104369,-2.981428478
169720,27193.55889,0.00964002,10.0662,10.6184,0.000744755,-3.127986572
169760,27198.46581,0.00963993,9.9018,10.9789,0.00140179,-2.853317042
169800,27203.37192,0.00963985,10.4195,10.647,0.00495095,-2.30531146
169840,27208.28629,0.00963976,9.96305,10.5868,0.000131842,-3.879946217
169880,27213.19983,0.00963967,9.98224,10.9157,6.97E-05,-4.156797754
169920,27218.10556,0.00963959,10.5525,10.5135,8.25E-05,-4.083296075
169960,27223.01598,0.0096395,10.2894,10.6504,0.000191525,-3.717774529
170000,27227.92492,0.00963942,10.4377,11.1666,1.68E-05,-4.775127818
170040,27232.83425,0.00963933,9.78505,11.0275,4.40E-05,-4.35688502
170080,27237.74409,0.00963924,10.4303,11.3182,3.21E-05,-4.493762933
170120,27242.65392,0.00963916,10.313,10.8547,3.99E-05,-4.399533532
170160,27247.56331,0.00963907,10.3474,11.0448,1.06E-05,-4.973066536
170200,27252.47346,0.00963898,9.79934,10.3093,9.35E-05,-4.02935796
170240,27257.3855,0.0096389,9.94648,10.8187,4.95E-06,-5.305299179
170280,27262.29121,0.00963881,10.1974,11.0189,0.000107859,-3.967143611
170320,27267.20068,0.00963872,10.2252,11.9945,9.20E-05,-4.036408594
170360,27272.11391,0.00963864,10.6459,11.0544,4.62E-05,-4.335602501
170400,27277.01996,0.00963855,10.5692,10.8708,0.00054233,-3.265736371
170440,27281.93228,0.00963846,10.6338,10.5452,5.50E-05,-4.259294748
170480,27286.84418,0.00963838,10.3624,9.9806,4.42E-05,-4.354264405
170520,27291.74915,0.00963829,10.4785,10.9365,2.99E-05,-4.524588885
170560,27296.65949,0.00963821,10.4903,10.8049,0.000685093,-3.16425047
170600,27301.56805,0.00963812,10.6041,10.8972,9.45E-05,-4.024479044
170640,27306.47344,0.00963803,10.9101,11.14,9.39E-05,-4.027339495
170680,27311.37935,0.00963795,10.1493,11.055,7.19E-05,-4.143382265
170720,27316.28981,0.00963786,10.9917,11.2946,0.000344424,-3.462906594
170760,27321.19333,0.00963777,10.2532,11.5831,4.79E-06,-5.31924309
170800,27326.10539,0.00963769,10.289,10.7623,0.000159859,-3.796262908
170840,27331.01643,0.0096376,10.2364,10.4852,0.000810884,-3.091041269
170880,27335.92659,0.00963751,10.9857,11.2831,1.61E-05,-4.794508728
170920,27340.8418,0.00963743,10.0425,10.863,7.46E-05,-4.127065027
170960,27345.75019,0.00963734,10.3929,11.5772,9.92E-06,-5.00352204
171000,27350.65518,0.00963725,10.8612,11.1797,0.000159289,-3.797814214
171040,27355.56578,0.00963717,9.85602,10.9621,0.000153724,-3.813258323
171080,27360.47563,0.00963708,10.2167,10.4505,0.000288023,-3.54057283
171120,27365.38715,0.00963699,10.1732,10.1833,0.000117187,-3.931120564
171160,27370.29843,0.00963691,10.0062,11.5795,5.90E-05,-4.229139155
171200,27375.21136,0.00963682,10.9622,11.1012,0.000529852,-3.275845422
171240,27380.11939,0.00963673,9.88783,11.052,0.000112987,-3.946971522
171280,27385.0339,0.00963665,10.6141,11.642,0.000135688,-3.867458559
171320,27389.9493,0.00963656,10.2621,11.2465,2.53E-05,-4.596040882
171360,27394.85565,0.00963648,10.6843,11.2718,0.000128011,-3.89275271
171400,27399.76942,0.00963639,10.6684,10.8112,0.000263757,-3.578796006
171440,27404.6784,0.0096363,10.2994,10.92,2.40E-05,-4.62000777
171480,27409.5874,0.00963622,10.2516,10.7284,0.000144271,-3.840820958
171520,27414.49584,0.00963613,10.4007,11.0843,0.000106458,-3.972821697
171560,27419.40574,0.00963604,10.3074,10.8492,2.47E-05,-4.606521317
171600,27424.311,0.00963596,10.3364,10.5997,7.65E-05,-4.116282933
171640,27429.22288,0.00963587,9.83862,10.7512,0.000349369,-3.456715633
171680,27434.13947,0.00963578,10.5196,10.9621,4.36E-05,-4.360903156
171720,27439.0522,0.0096357,9.86279,10.9843,0.000170495,-3.768288353
171760,27443.95897,0.00963561,10.9023,10.4227,4.38E-06,-5.358790711
171800,27448.87185,0.00963552,9.51762,10.1016,0.00011296,-3.947075316
171840,27453.77528,0.00963544,10.6213,11.7398,0.00303526,-2.517804101
171880,27458.68439,0.00963535,10.3859,10.968,3.05E-05,-4.515700161
171920,27463.59761,0.00963526,10.0028,11.026,1.23E-05,-4.909653756
171960,27468.50297,0.00963518,10.6515,10.8608,0.000128992,-3.889437224
172000,27624.69652,0.00963509,10.7423,11.1852,7.02E-05,-4.153586182
172040,27629.61719,0.00963501,10.7766,10.9998,4.75E-05,-4.322910677
172080,27634.53513,0.00963492,9.85866,11.5661,0.000128684,-3.890475448
172120,27639.44759,0.00963483,10.4058,11.3992,7.46E-05,-4.127231483
172160,27644.36255,0.00963475,10.2961,11.0826,5.73E-05,-4.2420622
172200,27649.27702,0.00963466,9.61573,10.9575,0.000105777,-3.975608754
172240,27654.18926,0.00963457,10.3318,11.7062,0.000102305,-3.99010314
172280,27659.10268,0.00963449,10.3491,11.045,9.46E-05,-4.024074434
172320,27664.01805,0.0096344,10.3956,10.8612,8.79E-06,-5.055800699
172360,27668.93196,0.00963431,9.87445,10.9119,4.48E-06,-5.348928519
172400,27673.84631,0.00963423,10.0212,10.4956,0.000359669,-3.444096993
172440,27678.76118,0.00963414,10.5823,11.1411,0.000113155,-3.946326251
172480,27683.67488,0.00963405,9.64085,10.9001,0.00657009,-2.182428681
172520,27688.58981,0.00963397,10.3986,12.1671,0.000120053,-3.920626983
172560,27693.50809,0.00963388,10.0463,11.4732,4.66E-05,-4.331831285
172600,27698.41814,0.00963379,10.5947,10.5462,4.19E-05,-4.377404712
